Artist,Spotify_ID
Sickret,4zI5PvVqjRXMGgJoiMUh9V
Silent Servant,1QwvlTkLsKbaB3JT1AV245
Smash Hit Combo,7n9ZfBhbU4NJNSHNZWl76a
Sonologyst,56zU2a284yjsGOESFRFjaj
Sopor Aeternus & the Ensemble of Shadows,4DJ9mOfSKt9vg0Zhlwf6te
Spark!,2AQjGvtT0pFYfxR3neFcvz
Stoneman,4UdeGyaC8XMy4ivRLlmhjJ
Suicide Commando,4N99bzdRBNRi7hGNCpMuhu
SUPERNOVA 1006,1NIk8nxtiRbQuib3gWrcZV
Sutcliffe Jügend,1ZcuN8s3tJXMBUghpTZbSe
SynthAttack,0S4nKPIOOkvUENAd5rC3AP
System Noire,2u1z0DBDnSbLb6lVF7vYWU
Tactical Sekt,4i2oaeWnQBnCnv9Js9W3V7
TenHornedBeast,0q1wwXnaKYeyspixv81uSU
The Birthday Massacre,16AVsBqzmIZTNHd0eX8VbK
The New Blockaders,5tfrbrFAOwwGVFvQ4hAhom
The Original Sin,0A7qQa4DOio4PYN2IdKHzm
The Silverblack,0ckgPY5JROBCK0hB6tAG5r
The Telescopes,5MTQzge85m3QSefD2LdS1J
Toal,5bXdZCX0SLxXcZJIv62XZH
Tommi Stumpff,7LbOyaXZUgPf4CyFGhUSUG
Torul,56EBe1vvPPsv7Pk5rAaSck
Totentanz Strumpfsockig,3NsimS3vWqiR8dG8IMYd1z
TRAITRS,3r7VhSKMedZrOa3zCD3e7X
Trepaneringsritualen,6rzZc4WycWXbvq1oU3gV5R
Troum,4A5utnjUJnjAJigB8XGJjD
Tunnels Of Āh,7zhTCpsTpQHDDSjew55okE
Unterschicht,6qJl22TDoBPVzAQX8P8oOa
Vanguard,5A1EDnSFUMMfYX6XMBFNj6
Vioflesh,28D07CaIZSfHVqlrlgtb70
VNV Nation,4KlYg0F5KG9QNDFKaeTNAy
White Ritual,0QUBaF6Rtta4TTmxYYfzux
Winterkälte,36jMvCtWXxabTlb8cmpYuA
Wisborg,2462kIrZ0nXoeuEeeYSKon
Wumpscut,3TTbkikkCAbUg2j5i9UrTV
XTR HUMAN,2rZkWg6RaoiuFmHrtrh0T4
Z'EV,55IyYO6fmYpYw6Nd4YF7bw
Zeni Geva,6kK9Cr3vkM5F8JrdMDSyET
Zos Kia,6yPhBJflyCWhiDFJR1Q65o
